keys,en,es,pt_BR,fr,de,ru,tr
Play,Play,Jugar,Jogar,Jouer,Spielen,Играть,Oyna
Quit,Quit,Salir,Sair,Quitter,Beenden,Выйти,Çıkış
Level Designer,Level Designer,Editor de niveles,Editor de fases,Éditeur de niveaux,Leveleditor,Редактор уровней,Bölüm Tasarımcısı
Move. Match. Explode. Solve!,Move. Match. Explode. Solve!,"¡Mueve, combina, explota y resuelve!","Mova, combine, exploda e resolva!","Déplacez, associez, explosez, résolvez !",Verschieben. Kombinieren. Knobeln!,Двигай. Соединяй. Взрывай. Решай!,Taşı. Eşleştir. Patlat. Çöz!
%d levels in %d worlds,%d levels in %d worlds,%d niveles en %d mundos,%d fases em %d mundos,%d niveaux dans %d mondes,%d Level in %d Welten,Уровней: %d · Миров: %d,"%d bölüm, %d dünya"
Language,Language,Idioma,Idioma,Langue,Sprache,Язык,Dil
Automatic (device),Automatic (device),Automático (dispositivo),Automático (dispositivo),Automatique (appareil),Automatisch (Gerät),Автоматически (язык устройства),Otomatik (cihaz)
Choose a level,Choose a level,Elige un nivel,Escolha uma fase,Choisir un niveau,Level auswählen,Выбор уровня,Bölüm seç
<  Back,<  Back,<  Atrás,<  Voltar,<  Retour,<  Zurück,<  Назад,<  Geri
Total score: %d,Total score: %d,Puntuación total: %d,Pontuação total: %d,Score total : %d,Gesamtpunkte: %d,Всего очков: %d,Toplam puan: %d
Designer levels,Designer levels,Niveles personalizados,Fases personalizadas,Niveaux personnalisés,Eigene Level,Свои уровни,Özel bölümler
World %d,World %d,Mundo %d,Mundo %d,Monde %d,Welt %d,Мир %d,Dünya %d
Custom,Custom,Personalizado,Personalizado,Personnalisé,Eigene,Свои,Özel
Level %d-%d,Level %d-%d,Nivel %d-%d,Fase %d-%d,Niveau %d-%d,Level %d-%d,Уровень %d-%d,Bölüm %d-%d
%d / %d completed,%d / %d completed,%d / %d completados,%d / %d concluídas,%d / %d terminés,%d / %d geschafft,Пройдено: %d / %d,%d / %d tamamlandı
Goals,Goals,Objetivos,Objetivos,Objectifs,Ziele,Цели,Hedefler
Moves,Moves,Movimientos,Jogadas,Coups,Züge,Ходы,Hamle
Time,Time,Tiempo,Tempo,Temps,Zeit,Время,Süre
Info,Info,Ayuda,Ajuda,Infos,Info,Справка,Bilgi
